Sample_Number,Date_Collected,Storage_Solution,CollectionSite,Collection_Site_Location_Details,Brood_year,Year_Class,Oyster_Length_,Oyster_Depth,Weight_g,Size_Class,Tissue,,,,,,,
18,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
19,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
20,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
21,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
22,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
23,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
24,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
25,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
26,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
27,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
28,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
29,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
30,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
31,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
32,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
33,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
34,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
35,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
36,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
37,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
38,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
39,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
40,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
41,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
42,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
43,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
44,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
45,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
46,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
47,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
48,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
49,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
50,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
51,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
52,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
53,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
54,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
55,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
56,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
57,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
58,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
59,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
60,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
61,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
62,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
63,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
64,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
65,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
66,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
67,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
68,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
69,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
70,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
71,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
72,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
73,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
74,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
75,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
76,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
77,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
78,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
79,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
80,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
81,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
82,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
83,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
84,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
85,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
86,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
87,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
88,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
89,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
90,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
91,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
92,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
93,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
94,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,3,Mantle,,,,,,,
95,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
96,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
97,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
98,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
99,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
100,2017-02-16,95% Ethanol,DeepBay,Deep Bay Oyster Farm,2015,2 years,4.5-6.5 cm,2-3 cm,23-50 grams,#N/A,Mantle,,,,,,,
101,,95% Ethanol,Japan,Hyogo Ken Ako,,,,,,N/A,,,,,,,,
102,,95% Ethanol,Japan,Hyogo Ken Ako,,,,,,N/A,,,,,,,,
103,,95% Ethanol,Japan,Hyogo Ken Ako,,,,,,N/A,,,,,,,,
104,,95% Ethanol,Japan,Hyogo Ken Aioi,,,,,,N/A,,,,,,,,
105,,95% Ethanol,Japan,Hyogo Ken Aioi,,,,,,N/A,,,,,,,,
106,,95% Ethanol,Japan,Hyogo Ken Aioi,,,,,,N/A,,,,,,,,
107,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
108,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
109,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
110,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
111,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
112,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
113,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
114,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
115,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
116,,95% Ethanol,Japan,Miyagi,,,,,,N/A,,,,,,,,
117,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
118,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
119,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
120,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
121,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
122,,95% Ethanol,Japan,Shizugawa Harbour,,,,,,N/A,,,,,,,,
123,At PBS,,,,,,,,,#N/A,,,,,,,,
124,,,,,,,,,,#N/A,,,,,,,,
125,,,,,,,,,,#N/A,,,,,,,,
126,,,,,,,,,,#N/A,,,,,,,,
127,,,,,,,,,,#N/A,,,,,,,,
128,,,,,,,,,,#N/A,,,,,,,,
129,,,,,,,,,,#N/A,,,,,,,,
130,,,,,,,,,,#N/A,,,,,,,,
131,,,,,,,,,,#N/A,,,,,,,,
132,,,,,,,,,,#N/A,,,,,,,,
133,,,,,,,,,,#N/A,,,,,,,,
134,,,,,,,,,,#N/A,,,,,,,,
135,,,,,,,,,,#N/A,,,,,,,,
136,,,,,,,,,,#N/A,,,,,,,,
137,,,,,,,,,,#N/A,,,,,,,,
138,,,,,,,,,,#N/A,,,,,,,,
139,,,,,,,,,,#N/A,,,,,,,,
140,,,,,,,,,,#N/A,,,,,,,,
141,,,,,,,,,,#N/A,,,,,,,,
142,,,,,,,,,,#N/A,,,,,,,,
143,,,,,,,,,,#N/A,,,,,,,,
144,,,,,,,,,,#N/A,,,,,,,,
145,,,,,,,,,,#N/A,,,,,,,,
146,,,,,,,,,,#N/A,,,,,,,,
147,,,,,,,,,,#N/A,,,,,,,,
148,,,,,,,,,,#N/A,,,,,,,,
149,,,,,,,,,,#N/A,,,,,,,,
150,,,,,,,,,,#N/A,,,,,,,,
151,,,,,,,,,,#N/A,,,,,,,,
152,,,,,,,,,,#N/A,,,,,,,,
153,,,,,,,,,,#N/A,,,,,,,,
154,,,,,,,,,,#N/A,,,,,,,,
155,,,,,,,,,,#N/A,,,,,,,,
156,,,,,,,,,,#N/A,,,,,,,,
157,,,,,,,,,,#N/A,,,,,,,,
158,,,,,,,,,,#N/A,,,,,,,,
159,,,,,,,,,,#N/A,,,,,,,,
160,,,,,,,,,,#N/A,,,,,,,,
161,,,,,,,,,,#N/A,,,,,,,,
162,,,,,,,,,,#N/A,,,,,,,,
163,,,,,,,,,,#N/A,,,,,,,,
164,,,,,,,,,,#N/A,,,,,,,,
165,,,,,,,,,,#N/A,,,,,,,,
166,,,,,,,,,,#N/A,,,,,,,,
167,,,,,,,,,,#N/A,,,,,,,,
168,,,,,,,,,,#N/A,,,,,,,,
169,,,,,,,,,,#N/A,,,,,,,,
170,,,,,,,,,,#N/A,,,,,,,,
171,,,,,,,,,,#N/A,,,,,,,,
172,,,,,,,,,,#N/A,,,,,,,,
173,,,,,,,,,,#N/A,,,,,,,,
174,,,,,,,,,,#N/A,,,,,,,,
175,,,,,,,,,,#N/A,,,,,,,,
176,,,,,,,,,,#N/A,,,,,,,,
177,,,,,,,,,,#N/A,,,,,,,,
178,,,,,,,,,,#N/A,,,,,,,,
179,,,,,,,,,,#N/A,,,,,,,,
180,,,,,,,,,,#N/A,,,,,,,,
181,,,,,,,,,,#N/A,,,,,,,,
182,,,,,,,,,,#N/A,,,,,,,,
183,,,,,,,,,,#N/A,,,,,,,,
184,,,,,,,,,,#N/A,,,,,,,,
185,,,,,,,,,,#N/A,,,,,,,,
186,,,,,,,,,,#N/A,,,,,,,,
187,,,,,,,,,,#N/A,,,,,,,,
188,,,,,,,,,,#N/A,,,,,,,,
189,,,,,,,,,,#N/A,,,,,,,,
190,,,,,,,,,,#N/A,,,,,,,,
191,,,,,,,,,,#N/A,,,,,,,,
192,,,,,,,,,,#N/A,,,,,,,,
193,,,,,,,,,,#N/A,,,,,,,,
194,,,,,,,,,,#N/A,,,,,,,,
195,,,,,,,,,,#N/A,,,,,,,,
196,,,,,,,,,,#N/A,,,,,,,,
197,,,,,,,,,,#N/A,,,,,,,,
198,,,,,,,,,,#N/A,,,,,,,,
199,,,,,,,,,,#N/A,,,,,,,,
200,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,#N/A,Mantle,,,,,,,
201,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
202,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
203,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
204,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
205,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
206,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
207,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,#N/A,Mantle,,,,,,,
208,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,#N/A,Mantle,,,,,,,
209,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,#N/A,Mantle,,,,,,,
210,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
211,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
212,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
213,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
214,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
215,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
216,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
217,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,#N/A,Mantle,,,,,,,
218,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
219,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
220,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
221,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
222,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
223,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
224,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
225,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
226,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
227,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
228,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
229,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
230,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,4.5 cm,2 cm,8-10 g,2,Mantle,,,,,,,
231,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
232,2017-02-17,95% Ethanol,BaynesSound,Baynes Sound Oyster Farm,2014/2015,2 years,2 cm,0.8 cm,2 g,1,Mantle,,,,,,,
